c,x,l,m,y
0.17259717361753776,0,0,1,121.72580271648914
-0.31015679715023464,0,0,0,120.07927058243511
0.46539049824910556,0,0,1,122.29270775879678
-0.9007965281018376,1,0,0,119.50661710176796
-1.2990089168142238,0,0,0,117.9373643919117
-0.5581850230380122,0,0,0,118.5984103909343
0.19137264698849166,0,0,0,120.47577453620184
0.12994194451628158,0,0,0,119.2789549868572
1.4313725821244154,0,1,0,125.82550946648234
0.6047020593834571,0,0,0,121.36538564901645
-1.770617924987172,1,1,1,123.33656385288415
0.7770935245618277,1,1,1,126.60300372201525
0.331075704240186,0,0,1,122.51952426223312
0.42632268801003537,0,0,0,121.26387813550971
-1.6032824316880887,0,1,0,118.85000823121192
0.606031968276766,0,0,0,120.89884494575672
-0.6346753669877316,0,0,0,121.19928642550931
-2.0985219159862485,1,0,1,120.25461675653344
0.20205120354451284,0,1,0,123.69081328026336
2.5532498006585236,0,0,1,126.50970711215211
1.0092818307741653,0,0,1,123.13561292984376
-0.1261384122077593,0,1,0,122.03792643130662
-0.5793762056025662,0,0,0,118.4725925596145
-0.663434419088753,0,0,0,119.83703506592668
0.010080735451095708,0,0,0,120.07772178922944
-0.260273855051065,0,0,0,119.9529139096772
-0.3862797374436905,0,0,1,121.19720800021496
0.8100880538905378,0,0,0,121.6218363465212
-0.7617117854476173,0,0,0,118.832546222045
-0.35564246021413276,0,0,0,120.50160780423612
0.2921505212268477,0,0,0,120.5853312352681
1.808773845310189,0,0,0,121.35512302909112
1.0238540477297953,0,0,0,122.47540043391388
0.2298289444311755,0,0,0,121.83394424740771
-0.2736006698630387,0,1,0,122.56661566098325
-0.5352464806291185,0,0,0,120.17859965644104
-1.4642153081974065,0,0,0,118.7831805853561
-0.7588924080937988,0,0,0,120.20682833068084
-1.7317981510337943,0,0,0,116.63361133516388
1.1931372539364702,1,0,0,124.11832950206518
-1.894153842863576,0,0,0,115.02165856403354
0.87940452112949,0,1,1,125.95259532056004
-0.7568030196583995,0,0,0,119.66297243826692
-0.3095712347221696,0,0,0,118.89140326917725
0.0026796871775518695,0,0,0,120.4137303202496
-1.7823391769219634,0,1,0,118.80875408610648
0.7161435482252803,0,0,0,122.87561146861442
-0.12543867008021076,1,0,0,121.26382150701676
-0.901537756584941,0,0,0,118.84839281375652
1.6201263234444245,0,0,0,121.91600813757913
0.47913025364178835,0,0,0,121.46623796914106
1.5719992920503232,0,0,0,122.6647046223437
1.7145133442391014,0,1,0,125.49384308942936
-0.6467558674081859,0,1,0,121.27725257608658
-0.2310639221397215,0,0,0,119.06235383839932
0.04320561019868232,0,1,0,121.6975190165844
-0.07354284381832932,0,0,0,119.32086487538882
1.1682664651950319,0,0,0,123.3432959074524
-1.5039734261533453,0,0,0,118.19171519667437
0.31908340435514393,0,0,0,120.26449640517048
1.2347896586864389,0,0,1,125.02683104076571
0.749534667720173,0,0,0,121.43926529106716
1.029137074338531,0,0,0,122.38419603010922
-0.2281351650863717,0,0,0,119.40540309013666
-0.539181025232486,0,0,0,119.3477200008938
-0.022629233955133204,0,0,1,120.80563278770194
1.4454021090973515,1,1,1,128.15901357493794
-2.87466422133112,0,0,0,115.3888546701041
-0.6612054210773516,0,0,0,118.13474951060456
-1.0052976890978866,0,0,0,117.48460828000393
-0.07214376524799504,0,0,0,120.01091518434365
0.5850668398371525,0,0,0,120.21097978030188
-0.37147229266535936,0,0,0,118.33627275871883
0.45337323419947106,0,0,0,120.10370110436322
0.1500707086552078,0,0,0,120.86774093249625
-1.058551033627393,0,0,0,117.9234669184152
0.30824408202658143,0,0,0,121.42073739967412
0.4095701636322344,0,0,0,121.26648473897376
-0.5365336754561344,0,0,0,118.08958049966849
0.2564558507774876,0,0,0,122.36037761361104
0.5630404538368275,0,0,0,122.6626062839402
-0.4425979893671902,0,0,0,119.54095115117693
1.3814735547902182,0,0,0,121.65306509245175
-1.0623506148076314,0,0,0,117.74902766411704
0.20332595077237964,0,1,1,126.2048229759804
0.3666264893316843,0,0,0,121.35878120726365
0.06753354615433427,0,0,1,121.53721383363
1.817331624799374,0,1,1,126.05372676849194
-0.04948029176637527,0,0,0,120.15671853234782
2.02542797305137,0,0,0,122.81599716357084
-1.1283500647706675,0,0,0,119.96390174154612
-0.4008136173059167,0,0,0,117.33667815104891
-2.0452947346191834,0,0,0,116.69136106831616
-0.9468243219523043,0,0,1,117.76098792114168
-0.5405311478823737,0,1,0,122.09413396846472
-0.5907913876428238,0,0,1,121.898043884933
-0.9595121801314401,0,0,0,118.15445214948748
0.5724154710202679,0,0,0,121.47456219941836
1.2107107103094086,0,0,0,121.97460699695564
-1.224528299317502,0,0,0,118.42479469846948
0.6279993551956442,0,0,0,120.45125798237255
0.1625201633928986,0,0,0,120.44076640959685
0.6936487293452349,0,0,0,121.38039064934236
-1.2177520089128737,0,0,0,118.51273208181496
-0.9350462027997132,1,0,0,120.0777409360274
-0.37965305569183105,0,0,0,121.10912201926506
1.8377678835009201,0,1,1,126.23598176712795
-0.9422483395855467,0,0,0,118.08662831407511
-0.36984837693082934,0,1,0,121.16102294847543
